target	fold
AACS	10
AAGAB	9
AAK1	7
AASDH	3
ABCA5	2
ABCB8	10
ABCC1	3
ABCC5	9
ABCD3	5
ABCF2	2
ABHD10	2
ABHD12	5
ABHD14A	9
ABHD16A	10
ABHD2	5
ABHD3	2
ABHD4	5
ABHD5	9
ABHD6	10
ABI1	5
ABL2	3
ABRACL	7
ABRAXAS1	8
ABRAXAS2	1
ABTB1	4
ABTB3	6
ACAA2	3
ACACA	1
ACAD9	9
ACADM	7
ACADS	2
ACADVL	1
ACAP1	4
ACAP2	1
ACAP3	6
ACAT1	1
ACAT2	8
ACBD3	9
ACBD5	1
ACBD6	2
ACER3	8
ACLY	6
ACO1	8
ACOT9	2
ACP6	2
ACSF3	5
ACSL3	7
ACSL4	4
ACSL5	7
ACSS1	2
ACTN4	3
ACTR1A	1
ACTR1B	9
ACTR3	8
ACTR5	10
ACY1	2
ACYP1	10
ACYP2	5
ADA	3
ADAM15	6
ADAM17	2
ADAM8	8
ADARB1	4
ADAT1	3
ADCK2	1
ADCK5	8
ADCY3	9
ADCY7	6
ADCY9	8
ADD1	1
ADGRE5	8
ADGRG1	3
ADH5	1
ADI1	7
ADIPOR1	8
ADK	4
ADNP	5
ADNP2	1
ADPRH	8
ADPRS	9
ADRM1	1
AEBP2	4
AEN	2
AFDN	6
AFF4	3
AFTPH	1
AGA	8
AGAP3	6
AGFG2	10
AGGF1	3
AGK	5
AGL	4
AGMAT	10
AGO1	3
AGO3	3
AGPAT5	6
AGPS	6
AGTPBP1	7
AGTRAP	3
AHCYL1	1
AHDC1	6
AHI1	2
AHR	2
AIF1	6
AIFM2	8
AIG1	7
AIM2	6
AIP	10
AK3	8
AK4	2
AKAP1	3
AKAP10	3
AKAP17A	4
AKAP8L	6
AKAP9	4
AKIRIN1	4
AKR1B1	5
AKT1	9
AKT2	10
AKT3	3
AKTIP	8
ALCAM	6
ALDH16A1	9
ALDH18A1	9
ALDH1B1	3
ALDH3A2	5
ALDH9A1	7
ALDOC	1
ALG13	4
ALG3	4
ALG6	7
ALG8	9
ALG9	2
ALKBH3	8
ALKBH4	7
ALKBH5	2
ALKBH7	2
ALKBH8	3
ALMS1	1
ALOX5AP	6
ALS2	3
AMBRA1	3
AMD1	10
AMER1	1
AMFR	9
AMIGO2	1
AMN1	4
AMPD2	5
AMPD3	9
AMZ2	3
ANAPC15	10
ANAPC7	4
ANGEL1	6
ANGEL2	4
ANKEF1	1
ANKFY1	2
ANKH	6
ANKMY1	1
ANKRD11	7
ANKRD12	10
ANKRD13A	10
ANKRD13B	6
ANKRD17	5
ANKRD26	6
ANKRD27	4
ANKRD28	1
