target_contrast	fold
ENSG00000001036	4
ENSG00000001561	3
ENSG00000002549	4
ENSG00000002586	2
ENSG00000002834	1
ENSG00000002919	1
ENSG00000003056	4
ENSG00000003393	2
ENSG00000003400	3
ENSG00000003756	2
ENSG00000004468	0
ENSG00000004487	3
ENSG00000004534	1
ENSG00000004766	4
ENSG00000004864	4
ENSG00000004866	3
ENSG00000004975	0
ENSG00000005022	4
ENSG00000005059	1
ENSG00000005156	1
ENSG00000005339	0
ENSG00000005436	0
ENSG00000005448	0
ENSG00000005469	0
ENSG00000005483	0
ENSG00000005486	2
ENSG00000005700	0
ENSG00000005812	4
ENSG00000005844	4
ENSG00000005882	3
ENSG00000005884	4
ENSG00000005893	0
ENSG00000006007	1
ENSG00000006125	1
ENSG00000006432	0
ENSG00000006459	3
ENSG00000006530	4
ENSG00000006607	0
ENSG00000006625	0
ENSG00000006652	4
ENSG00000006757	0
ENSG00000007080	3
ENSG00000007129	4
ENSG00000007312	1
ENSG00000007392	3
ENSG00000007541	2
ENSG00000007944	2
ENSG00000008282	0
ENSG00000008294	3
ENSG00000008324	2
ENSG00000008405	0
ENSG00000008517	2
ENSG00000008710	3
ENSG00000008952	4
ENSG00000009307	1
ENSG00000009335	4
ENSG00000009780	1
ENSG00000009844	2
ENSG00000009954	2
ENSG00000010165	0
ENSG00000010219	0
ENSG00000010270	1
ENSG00000010361	3
ENSG00000010404	4
ENSG00000010539	3
ENSG00000010610	1
ENSG00000011007	0
ENSG00000011143	2
ENSG00000011198	3
ENSG00000011243	3
ENSG00000011275	0
ENSG00000011422	3
ENSG00000011451	3
ENSG00000011454	3
ENSG00000011485	4
ENSG00000011523	1
ENSG00000011566	0
ENSG00000012061	3
ENSG00000012211	2
ENSG00000012660	4
ENSG00000012817	1
ENSG00000012822	2
ENSG00000012983	0
ENSG00000013288	1
ENSG00000013306	1
ENSG00000013364	2
ENSG00000013374	1
ENSG00000013523	3
ENSG00000013561	1
ENSG00000013583	0
ENSG00000013619	4
ENSG00000013725	0
ENSG00000014216	1
ENSG00000014824	0
ENSG00000014919	1
ENSG00000015133	3
ENSG00000015153	2
ENSG00000015171	4
ENSG00000015285	1
ENSG00000015532	1
ENSG00000017260	0
ENSG00000017483	2
ENSG00000017797	2
ENSG00000018510	2
ENSG00000018610	0
ENSG00000019582	1
ENSG00000020256	1
ENSG00000021574	0
ENSG00000022556	1
ENSG00000022840	1
ENSG00000022976	1
ENSG00000023191	0
ENSG00000023287	3
ENSG00000023445	0
ENSG00000023572	2
ENSG00000023697	0
ENSG00000023892	0
ENSG00000023902	0
ENSG00000023909	1
ENSG00000024048	0
ENSG00000024526	4
ENSG00000025156	2
ENSG00000025293	1
ENSG00000025708	2
ENSG00000025772	4
ENSG00000025796	1
ENSG00000026025	1
ENSG00000026297	2
ENSG00000026508	0
ENSG00000026751	4
ENSG00000027001	4
ENSG00000027075	4
ENSG00000027697	3
ENSG00000027847	3
ENSG00000028277	1
ENSG00000028839	3
ENSG00000029153	1
ENSG00000029363	0
ENSG00000029639	1
ENSG00000029725	1
ENSG00000029993	4
ENSG00000030110	2
ENSG00000032219	0
ENSG00000032742	1
ENSG00000033050	4
ENSG00000033100	1
ENSG00000033170	0
ENSG00000033178	2
ENSG00000033327	0
ENSG00000033627	4
ENSG00000033867	2
ENSG00000034152	0
ENSG00000034533	4
ENSG00000034677	1
ENSG00000035403	2
ENSG00000035499	0
ENSG00000036054	2
ENSG00000036257	3
ENSG00000037757	3
ENSG00000038002	3
ENSG00000038210	0
ENSG00000038358	2
ENSG00000039319	2
ENSG00000040199	1
ENSG00000040341	4
ENSG00000040933	1
ENSG00000041988	4
ENSG00000042286	4
ENSG00000043093	1
ENSG00000043514	2
ENSG00000046651	3
ENSG00000047056	2
ENSG00000047230	2
ENSG00000047346	1
ENSG00000047579	4
ENSG00000047932	2
ENSG00000048028	4
ENSG00000048140	2
ENSG00000048392	3
ENSG00000048405	1
ENSG00000048740	1
ENSG00000049245	3
ENSG00000049656	0
ENSG00000049768	2
ENSG00000049769	2
ENSG00000049860	0
ENSG00000050344	2
ENSG00000050393	4
ENSG00000050405	4
ENSG00000050426	3
ENSG00000050748	2
ENSG00000051009	1
ENSG00000051108	1
ENSG00000051341	0
ENSG00000051382	1
ENSG00000051523	1
ENSG00000051620	4
ENSG00000052723	2
ENSG00000052841	1
ENSG00000054118	4
ENSG00000054148	4
ENSG00000054219	0
ENSG00000054267	2
ENSG00000054523	2
ENSG00000054611	0
ENSG00000054654	4
ENSG00000054965	2
ENSG00000054967	2
ENSG00000054983	1
ENSG00000055070	3
ENSG00000055163	4
ENSG00000055332	4
ENSG00000055609	0
ENSG00000055732	0
ENSG00000055917	0
ENSG00000056050	3
ENSG00000056277	4
ENSG00000056558	4
ENSG00000056586	2
ENSG00000056972	2
ENSG00000057252	1
ENSG00000057608	0
ENSG00000057757	2
ENSG00000058056	2
ENSG00000058272	0
ENSG00000058668	2
ENSG00000058799	2
ENSG00000059377	1
ENSG00000059378	1
ENSG00000059573	0
ENSG00000059588	1
ENSG00000059728	2
ENSG00000059758	1
ENSG00000059804	0
ENSG00000060237	1
ENSG00000060491	0
ENSG00000060642	1
ENSG00000060749	0
ENSG00000060762	0
ENSG00000061337	1
ENSG00000062194	2
ENSG00000062725	1
ENSG00000063046	4
ENSG00000063169	0
ENSG00000063241	2
ENSG00000063587	2
ENSG00000063601	4
ENSG00000063660	1
ENSG00000064012	0
ENSG00000064115	4
ENSG00000064393	3
ENSG00000064490	3
ENSG00000064545	3
ENSG00000064601	3
ENSG00000064651	4
ENSG00000064666	2
ENSG00000064703	4
ENSG00000064726	4
ENSG00000064961	1
ENSG00000065000	3
ENSG00000065029	3
ENSG00000065060	4
ENSG00000065135	3
ENSG00000065154	1
ENSG00000065243	3
ENSG00000065357	3
ENSG00000065457	2
ENSG00000065485	3
ENSG00000065491	1
ENSG00000065518	1
ENSG00000065526	2
ENSG00000065548	1
ENSG00000065559	2
ENSG00000065600	0
ENSG00000065802	3
ENSG00000065882	3
ENSG00000065883	4
ENSG00000065911	2
ENSG00000065970	1
ENSG00000066027	3
ENSG00000066044	4
ENSG00000066084	1
ENSG00000066117	1
ENSG00000066135	0
ENSG00000066279	0
ENSG00000066294	3
ENSG00000066322	1
ENSG00000066427	4
ENSG00000066557	2
ENSG00000066583	0
ENSG00000066651	4
ENSG00000066697	4
ENSG00000066777	3
ENSG00000066827	1
ENSG00000066855	2
ENSG00000066933	4
ENSG00000067048	1
ENSG00000067057	3
ENSG00000067113	2
ENSG00000067167	0
ENSG00000067182	1
ENSG00000067191	0
ENSG00000067225	3
ENSG00000067365	2
ENSG00000067369	3
ENSG00000067646	3
ENSG00000067992	0
ENSG00000068024	2
ENSG00000068028	4
ENSG00000068079	3
ENSG00000068097	1
ENSG00000068305	2
ENSG00000068308	1
ENSG00000068354	0
ENSG00000068366	3
ENSG00000068383	0
ENSG00000068438	4
ENSG00000068650	1
ENSG00000068697	3
ENSG00000068796	4
ENSG00000069275	0
ENSG00000069345	0
ENSG00000069424	0
ENSG00000069493	1
ENSG00000069849	1
ENSG00000069956	1
ENSG00000069966	1
ENSG00000069974	4
ENSG00000069998	0
