locus,gene,chromosome,bait_start_grch38,bait_end_grch38,prey_start_grch38,prey_end_grch38,chicago_activated,chicago_nonactivated,called_activated,called_nonactivated,differential_logfc,differential_fdr
gata3,GATA3,10,8039719,8061242,8180730,8183427,2.84609757410081,5.07834429141101,False,True,-0.547012929222877,0.103229349196676
gata3,GATA3,10,8039719,8061242,8237523,8245422,2.97619250024134,5.21539468194399,False,True,-0.509413444286308,0.36520873777911
gata3,GATA3,10,8039719,8061242,8245423,8246447,5.0993862429406,7.63434624630964,True,True,-0.415674498341256,0.427406720684069
gata3,GATA3,10,8039719,8061242,8246448,8249954,3.27596696821481,6.96185858356106,False,True,-0.674287587032654,0.0555771632971512
gata3,GATA3,10,8039719,8061242,8321338,8329315,3.61698174617635,6.46954560390402,False,True,-0.498527014814966,0.467939785574708
gata3,GATA3,10,8039719,8061242,8329316,8333635,7.17256034714702,12.2644018029598,True,True,-0.564458293713449,0.132133778522299
gata3,GATA3,10,8039719,8061242,8333636,8334940,9.67021311911857,17.0059166402148,True,True,-0.700560299061317,0.0029646255277886
gata3,GATA3,10,8039719,8061242,8334941,8335582,7.90838338869361,12.2502767312691,True,True,-0.393254213456801,0.492370115053507
gata3,GATA3,10,8039719,8061242,8335583,8339925,4.60207812689553,8.0395686811925,False,True,-0.507696752024644,0.410151643795399
gata3,GATA3,10,8039719,8061242,8339926,8343682,5.67616675065203,5.37770201385472,True,True,0.0145567723653103,0.999943580677274
gata3,GATA3,10,8039719,8061242,8394255,8396336,4.46164661153787,5.93363164519425,False,True,-0.200141202802177,0.903490911607236
gata3,GATA3,10,8039719,8061242,8396337,8396497,5.16922760063039,7.36776495687086,True,True,-0.320374137802475,0.784566068006889
gata3,GATA3,10,8039719,8061242,8396498,8402733,8.15397905373629,10.6366758310471,True,True,-0.218608963945505,0.85262448063477
gata3,GATA3,10,8039719,8061242,8402734,8404469,12.8277447260497,16.3662426052801,True,True,-0.249607613981561,0.768335851330247
gata3,GATA3,10,8039719,8061242,8404470,8409626,4.88064581484796,7.55181686132208,False,True,-0.429001210625851,0.636967197974824
gata3,GATA3,10,8039719,8061242,8431531,8435713,6.92592873371241,8.30315502512631,True,True,-0.164356567544601,0.919756410353024
gata3,GATA3,10,8039719,8061242,8435778,8444224,5.13031866827152,6.47809017776725,True,True,-0.254688553933035,0.872429873845457
gata3,GATA3,10,8039719,8061242,8444225,8446208,11.2715290647195,14.7659580139477,True,True,-0.307118546532086,0.716141788377741
gata3,GATA3,10,8039719,8061242,8446209,8449964,8.41620665530348,10.539660339346,True,True,-0.214911024375125,0.874010482367826
gata3,GATA3,10,8039719,8061242,8451513,8456905,5.4124741585348,6.47779322906132,True,True,-0.197846547033734,0.910859750459347
gata3,GATA3,10,8039719,8061242,8456906,8457736,3.30190366065897,6.06202685181489,False,True,-0.375893087157738,0.79876041822181
gata3,GATA3,10,8039719,8061242,8462272,8464167,5.55809010824073,8.3527308094213,True,True,-0.347092879189754,0.769804715460166
gata3,GATA3,10,8039719,8061242,8464168,8467171,8.54270820377769,7.83075727022453,True,True,0.088159798435823,0.957009877146529
gata3,GATA3,10,8039719,8061242,8467172,8471911,7.42561761859528,8.49612232698054,True,True,-0.123538920342957,0.945827226230831
gata3,GATA3,10,8039719,8061242,8471912,8473234,10.5656459030939,12.4703601710247,True,True,-0.181514601763625,0.893487640713964
